"","champion_id","champion_name","champion_organization","dont.exclude"
"115",115,"Dillon Wilson Test","Dillon Wilson Test",TRUE
"116",116,"Dillon Wilson Test 2","Dillon Wilson Test 2",TRUE
"117",117,"ARP Resource","ARP Resource",TRUE
"118",118,"Broken Vessel","Broken Vessel",TRUE
"119",119,"Brothers of Israel","Brothers of Israel",TRUE
"120",120,"Villanova University Engineering Unleashed","Villanova University Engineering Unleashed",TRUE
"121",121,"University of Dayton Engineering Unleashed","University of Dayton Engineering Unleashed",TRUE
"122",122,"Lawrence Technological University Engineering Unleashed","Lawrence Technological University Engineering Unleashed",TRUE
"123",123,"Thermo-Fluids Engineering Unleashed","Thermo-Fluids Engineering Unleashed",TRUE
"124",124,"Quantified Self Engineering Unleashed","Quantified Self Engineering Unleashed",TRUE
"125",125,"UAV Engineering Unleashed","UAV Engineering Unleashed",TRUE
"126",126,"First Year Engineering Unleashed","First Year Engineering Unleashed",TRUE
"127",127,"Engineering Unleashed","Engineering Unleashed",TRUE
"128",128,"FamilyLife Today","FamilyLife Today",TRUE
"129",129,"Michael Jr.","Michael Jr.",TRUE
"130",130,"Bob Lepine","Bob Lepine",TRUE
"131",131,"FamilyLife Blended and Blessed","FamilyLife Blended and Blessed",TRUE
"132",132,"Dennis Rainey","Dennis Rainey",TRUE
"133",133,"FamilyLife Stepping Up","FamilyLife Stepping Up",TRUE
"134",134,"FamilyLife Weekend to Remember","FamilyLife Weekend to Remember",TRUE
"135",135,"FamilyLife Art of Marriage","FamilyLife Art of Marriage",TRUE
"136",136,"Cru LAC","Cru LAC",TRUE
"137",137,"REVEAL For Leader","REVEAL For Leader",TRUE
"138",138,"Gary Chapman","Gary Chapman",TRUE
"139",139,"Carlos Cuauhtémoc Sánchez","Carlos Cuauhtémoc Sánchez",TRUE
"140",140,"Tim Elmore","Tim Elmore",TRUE
"141",141,"Christena Cleveland","Christena Cleveland",TRUE
"142",142,"Tiphani Montgomery","Tiphani Montgomery",TRUE
"143",143,"Marianne Williamson","Marianne Williamson",TRUE
"144",144,"Elizabeth Gilbert","Elizabeth Gilbert",TRUE
"145",145,"Brené Brown","Brené Brown",TRUE
"146",146,"Ryan Holdeman","Ryan Holdeman",TRUE
"147",147,"Analytics","Analytics",TRUE
"148",148,"James Clear","James Clear",TRUE
"149",149,"Tim Ferriss","Tim Ferriss",TRUE
"150",150,"Seth Godin","Seth Godin",TRUE
"151",151,"Grit & Virtue","Grit & Virtue",TRUE
"152",152,"April Diaz","April Diaz",TRUE
"153",153,"Mark Buchanan","Mark Buchanan",TRUE
"154",154,"Harvey Carey","Harvey Carey",TRUE
"155",155,"Ron Deal","Ron Deal",TRUE
"156",156,"Stephen Mattson","Stephen Mattson",TRUE
"157",157,"Brandon Schafer","Brandon Schafer",TRUE
"158",158,"Dr. Scott Stanley","Dr. Scott Stanley",TRUE
"159",159,"John Gottman","John Gottman",TRUE
"160",160,"Brad Wilcox","Brad Wilcox",TRUE
"161",161,"SIYLI - Search Inside Yourself Leadership Institute","SIYLI - Search Inside Yourself Leadership Institute",TRUE
"162",162,"Jeff Kemp","Jeff Kemp",TRUE
"163",163,"Bill Farrel","Bill Farrel",TRUE
"164",164,"Dr. Emerson Eggerichs","Dr. Emerson Eggerichs",TRUE
"165",165,"Dr. Gary Chapman","Dr. Gary Chapman",TRUE
"166",166,"Michael Hyatt","Michael Hyatt",TRUE
"167",0,"Ambiguous","Ambiguous",TRUE
"168",-1,"Ambiguous Internal","Ambiguous",TRUE
